TransactionReference,ValueDate,CustomerAccount,Counterparty,AmountMinorUnits,CurrencyCode,TransactionType,SettlementStatus
B000594,2026-02-03,ACC0103,Dhillon & Sons,13659,GBP,CREDIT,SETTLED
B000595,2026-03-08,ACC0093,Harrow Sports Club,9334,GBP,DEBIT,SETTLED
B000596,2026-02-06,ACC0046,Dhillon & Sons,27760,GBP,DEBIT,SETTLED
B000597,2026-01-18,ACC0079,"Marlow ""Fine"" Foods",8270,GBP,CREDIT,SETTLED
B000598,2026-03-08,ACC0040,Corner Cafe,12345,GBP,CREDIT,SETTLED
B000599,2026-03-22,ACC0031,Petra Logistics,3310,GBP,DEBIT,UNSETTLED
B000600,2026-01-24,ACC0014,Ashvale Clinic,190980,GBP,DEBIT,SETTLED
B000601,2026-02-15,ACC0015,Sandbrook Utilities,3918,GBP,DEBIT,SETTLED
B000602,2026-02-05,ACC0048,Bolt & Screw Ltd,21222,GBP,DEBIT,SETTLED
B000603,2026-03-26,ACC0076,Ashvale Clinic,4448,GBP,DEBIT,RETURNED
B000604,2026-01-14,ACC0090,Sandbrook Utilities,2035,GBP,DEBIT,UNSETTLED
B000605,2026-03-09,ACC0100,The Old Print Works,2319,GBP,DEBIT,SETTLED
B000606,2026-01-13,ACC0016,"Wembley Tyres, Ltd",12883,GBP,DEBIT,SETTLED
B000607,2026-03-10,ACC0029,"Wembley Tyres, Ltd",867,GBP,DEBIT,RETURNED
B000608,2026-01-25,ACC0046,"Wembley Tyres, Ltd",4379,GBP,CREDIT,SETTLED
B000609,2026-01-08,ACC0080,Dhillon & Sons,1718,GBP,DEBIT,SETTLED
B000610,2026-02-20,ACC0033,Corner Cafe,3725,GBP,CREDIT,RETURNED
B000611,2026-03-25,ACC0034,Ashvale Clinic,7617,GBP,DEBIT,SETTLED
B000612,2026-03-28,ACC0110,"Wembley Tyres, Ltd",7302,GBP,DEBIT,UNSETTLED
B000613,2026-02-12,ACC0002,Petra Logistics,18251,GBP,CREDIT,SETTLED
B000614,2026-01-14,ACC0113,Petra Logistics,2104,GBP,CREDIT,SETTLED
B000615,2026-01-20,ACC0049,Ashvale Clinic,5652,GBP,DEBIT,SETTLED
B000616,2026-01-03,ACC0092,"Wembley Tyres, Ltd",1415,GBP,CREDIT,UNSETTLED
B000617,2026-01-18,ACC0105,Petra Logistics,5515,GBP,CREDIT,UNSETTLED
B000618,2026-02-19,ACC0080,Corner Cafe,3220,GBP,DEBIT,SETTLED
B000619,2026-03-14,ACC0018,Dhillon & Sons,12679,GBP,DEBIT,RETURNED
B000620,2026-02-24,ACC0064,Dhillon & Sons,6451,GBP,CREDIT,SETTLED
B000621,2026-03-25,ACC0008,Petra Logistics,2040,GBP,DEBIT,SETTLED
B000622,2026-01-24,ACC0038,Kite Digital,60597,GBP,DEBIT,SETTLED
B000623,2026-01-27,ACC0010,Kite Digital,1503,GBP,DEBIT,SETTLED
B000624,2026-02-16,ACC0043,The Old Print Works,42580,GBP,DEBIT,UNSETTLED
B000625,2026-03-18,ACC0038,Bolt & Screw Ltd,10270,GBP,DEBIT,SETTLED
B000626,2026-02-27,ACC0103,"Marlow ""Fine"" Foods",1737,GBP,DEBIT,SETTLED
B000627,2026-03-18,ACC0103,Sandbrook Utilities,11452,GBP,DEBIT,SETTLED
B000628,2026-01-18,ACC0046,Sandbrook Utilities,12388,GBP,CREDIT,SETTLED
B000629,2026-01-17,ACC0085,Bolt & Screw Ltd,2715,GBP,CREDIT,RETURNED
B000630,2026-03-02,ACC0009,Petra Logistics,1899,GBP,CREDIT,SETTLED
B000631,2026-01-04,ACC0024,Corner Cafe,7984,GBP,DEBIT,UNSETTLED
B000632,2026-03-28,ACC0011,Ashvale Clinic,11118,GBP,CREDIT,SETTLED
B000633,2026-03-10,ACC0041,The Old Print Works,19934,GBP,DEBIT,SETTLED
B000634,2026-01-05,ACC0073,Corner Cafe,3723,GBP,DEBIT,SETTLED
B000635,2026-03-14,ACC0053,Sandbrook Utilities,6146,GBP,DEBIT,SETTLED
B000636,2026-01-02,ACC0098,Dhillon & Sons,3240,GBP,DEBIT,SETTLED
B000637,2026-01-09,ACC0104,"Wembley Tyres, Ltd",4235,GBP,DEBIT,UNSETTLED
B000638,2026-01-16,ACC0069,Northline Freight,26157,GBP,DEBIT,SETTLED
B000639,2026-03-29,ACC0048,Bolt & Screw Ltd,5920,GBP,DEBIT,RETURNED
B000640,2026-01-09,ACC0011,Harrow Sports Club,17781,GBP,DEBIT,SETTLED
B000641,2026-01-08,ACC0053,"Wembley Tyres, Ltd",5342,GBP,DEBIT,RETURNED
B000642,2026-01-01,ACC0050,Corner Cafe,3080,GBP,CREDIT,SETTLED
B000643,2026-01-16,ACC0048,Corner Cafe,1964,GBP,DEBIT,SETTLED
B000644,2026-01-27,ACC0084,Corner Cafe,23560,GBP,DEBIT,UNSETTLED
B000645,2026-01-17,ACC0070,The Old Print Works,19019,GBP,DEBIT,SETTLED
B000646,2026-01-16,ACC0073,Harrow Sports Club,6035,GBP,CREDIT,SETTLED
B000647,2026-03-07,ACC0050,Petra Logistics,5604,GBP,DEBIT,SETTLED
B000648,2026-02-26,ACC0106,Ashvale Clinic,5752,GBP,CREDIT,UNSETTLED
B000649,2026-03-05,ACC0073,"Marlow ""Fine"" Foods",23749,GBP,CREDIT,UNSETTLED
B000650,2026-03-13,ACC0045,Petra Logistics,7952,GBP,DEBIT,SETTLED
B000651,2026-02-19,ACC0003,"Marlow ""Fine"" Foods",10968,GBP,CREDIT,SETTLED
B000652,2026-03-07,ACC0032,Kite Digital,6682,GBP,DEBIT,UNSETTLED
B000653,2026-01-20,ACC0064,Kite Digital,2198,GBP,DEBIT,SETTLED
B000654,2026-03-31,ACC0014,Ashvale Clinic,9122,GBP,DEBIT,RETURNED
B000655,2026-03-01,ACC0114,The Old Print Works,7205,GBP,DEBIT,UNSETTLED
B000656,2026-02-28,ACC0101,Harrow Sports Club,4482,GBP,DEBIT,SETTLED
B000657,2026-02-23,ACC0103,Sandbrook Utilities,32899,GBP,DEBIT,SETTLED
B000658,2026-02-20,ACC0062,Sandbrook Utilities,27406,GBP,DEBIT,SETTLED
B000659,2026-02-26,ACC0078,Bolt & Screw Ltd,9460,GBP,DEBIT,SETTLED
B000660,2026-03-24,ACC0050,Corner Cafe,11513,GBP,CREDIT,SETTLED
B000661,2026-01-23,ACC0104,The Old Print Works,31245,GBP,CREDIT,SETTLED
B000662,2026-03-01,ACC0012,Ashvale Clinic,8803,GBP,CREDIT,RETURNED
B000663,2026-02-11,ACC0041,Petra Logistics,4721,GBP,CREDIT,SETTLED
B000664,2026-02-18,ACC0030,Sandbrook Utilities,10608,GBP,DEBIT,RETURNED
B000665,2026-01-22,ACC0019,"Marlow ""Fine"" Foods",12838,GBP,DEBIT,UNSETTLED
B000666,2026-02-25,ACC0082,Harrow Sports Club,14950,GBP,DEBIT,SETTLED
B000667,2026-01-30,ACC0110,Sandbrook Utilities,3902,GBP,DEBIT,SETTLED
B000668,2026-01-07,ACC0051,"Marlow ""Fine"" Foods",830,GBP,DEBIT,UNSETTLED
B000669,2026-01-25,ACC0113,Harrow Sports Club,12234,GBP,CREDIT,SETTLED
B000670,2026-01-24,ACC0087,Corner Cafe,3155,GBP,CREDIT,SETTLED
B000671,2026-01-03,ACC0083,"Marlow ""Fine"" Foods",31530,GBP,DEBIT,SETTLED
B000672,2026-03-16,ACC0108,Petra Logistics,3602,GBP,CREDIT,SETTLED
B000673,2026-01-18,ACC0030,Kite Digital,8364,GBP,DEBIT,SETTLED
B000674,2026-01-02,ACC0054,Northline Freight,6360,GBP,DEBIT,UNSETTLED
B000675,2026-02-15,ACC0013,"Wembley Tyres, Ltd",7122,GBP,CREDIT,SETTLED
B000676,2026-03-15,ACC0022,Bolt & Screw Ltd,6072,GBP,CREDIT,RETURNED
B000677,2026-02-27,ACC0097,Ashvale Clinic,7463,GBP,DEBIT,UNSETTLED
B000678,2026-03-10,ACC0035,Ashvale Clinic,19354,GBP,DEBIT,UNSETTLED
B000679,2026-03-18,ACC0079,Corner Cafe,1135,GBP,CREDIT,UNSETTLED
B000680,2026-03-30,ACC0117,Kite Digital,131261,GBP,DEBIT,UNSETTLED
B000681,2026-02-27,ACC0059,Dhillon & Sons,41447,GBP,DEBIT,RETURNED
B000682,2026-02-18,ACC0018,"Marlow ""Fine"" Foods",8966,GBP,DEBIT,RETURNED
B000683,2026-01-26,ACC0061,Northline Freight,2840,GBP,CREDIT,RETURNED
B000684,2026-02-21,ACC0094,Sandbrook Utilities,11303,GBP,CREDIT,RETURNED
B000685,2026-01-05,ACC0083,Dhillon & Sons,15714,GBP,DEBIT,RETURNED
B000686,2026-02-11,ACC0108,The Old Print Works,10255,GBP,CREDIT,SETTLED
B000687,2026-01-21,ACC0035,Northline Freight,4563,GBP,DEBIT,SETTLED
B000688,2026-02-10,ACC0117,"Marlow ""Fine"" Foods",18576,GBP,DEBIT,RETURNED
B000689,2026-03-31,ACC0117,Petra Logistics,6264,GBP,DEBIT,RETURNED
B000690,2026-03-19,ACC0040,Ashvale Clinic,2426,GBP,DEBIT,UNSETTLED
B000691,2026-02-15,ACC0114,"Marlow ""Fine"" Foods",4040,GBP,CREDIT,SETTLED
B000692,2026-01-05,ACC0021,"Wembley Tyres, Ltd",24441,GBP,DEBIT,UNSETTLED
B000693,2026-03-18,ACC0014,The Old Print Works,7183,GBP,DEBIT,SETTLED
B000694,2026-02-22,ACC0043,Bolt & Screw Ltd,61976,GBP,CREDIT,UNSETTLED
B000695,2026-01-26,ACC0117,"Wembley Tyres, Ltd",5771,GBP,DEBIT,RETURNED
B000696,2026-02-27,ACC0050,"Marlow ""Fine"" Foods",11291,GBP,DEBIT,RETURNED
B000697,2026-01-04,ACC0109,Kite Digital,1665,GBP,DEBIT,RETURNED
B000698,2026-01-13,ACC0004,Kite Digital,4949,GBP,CREDIT,SETTLED
B000699,2026-03-29,ACC0033,"Wembley Tyres, Ltd",2516,GBP,DEBIT,UNSETTLED
B000700,2026-02-03,ACC0120,"Marlow ""Fine"" Foods",6707,GBP,DEBIT,RETURNED
B000701,2026-01-29,ACC0012,"Marlow ""Fine"" Foods",21314,GBP,DEBIT,UNSETTLED
B000702,2026-03-20,ACC0097,Sandbrook Utilities,13766,GBP,DEBIT,SETTLED
B000703,2026-03-14,ACC0088,"Wembley Tyres, Ltd",19846,GBP,DEBIT,RETURNED
B000704,2026-03-27,ACC0039,"Wembley Tyres, Ltd",20218,GBP,DEBIT,SETTLED
B000705,2026-01-29,ACC0029,The Old Print Works,1285,GBP,CREDIT,UNSETTLED
B000706,2026-01-11,ACC0111,Bolt & Screw Ltd,12106,GBP,DEBIT,SETTLED
B000707,2026-03-28,ACC0089,"Wembley Tyres, Ltd",1886,GBP,DEBIT,RETURNED
B000708,2026-01-30,ACC0116,Kite Digital,7458,GBP,CREDIT,SETTLED
B000709,2026-03-19,ACC0082,Harrow Sports Club,5110,GBP,DEBIT,RETURNED
B000710,2026-03-05,ACC0005,Kite Digital,3948,GBP,DEBIT,UNSETTLED
B000711,2026-02-12,ACC0089,Bolt & Screw Ltd,13801,GBP,DEBIT,RETURNED
B000712,2026-01-29,ACC0115,"Marlow ""Fine"" Foods",4832,GBP,DEBIT,SETTLED
B000713,2026-01-26,ACC0110,Ashvale Clinic,757,GBP,DEBIT,UNSETTLED
B000714,2026-03-09,ACC0116,Ashvale Clinic,7828,GBP,CREDIT,SETTLED
B000715,2026-01-13,ACC0113,Dhillon & Sons,3144,GBP,DEBIT,SETTLED
B000716,2026-02-13,ACC0023,Corner Cafe,4586,GBP,DEBIT,UNSETTLED
B000717,2026-01-08,ACC0014,Petra Logistics,1038,GBP,DEBIT,RETURNED
B000718,2026-03-23,ACC0004,"Marlow ""Fine"" Foods",11040,GBP,DEBIT,RETURNED
B000719,2026-01-29,ACC0026,Harrow Sports Club,5836,GBP,CREDIT,RETURNED
B000720,2026-01-27,ACC0013,Petra Logistics,2776,GBP,DEBIT,RETURNED
B000721,2026-03-12,ACC0002,Kite Digital,2534,GBP,CREDIT,SETTLED
B000722,2026-02-17,ACC0055,Ashvale Clinic,2928,GBP,DEBIT,RETURNED
B000723,2026-02-17,ACC0054,Sandbrook Utilities,7802,GBP,DEBIT,SETTLED
B000724,2026-02-20,ACC0037,Dhillon & Sons,6453,GBP,DEBIT,SETTLED
B000725,2026-02-15,ACC0107,Petra Logistics,17381,GBP,DEBIT,SETTLED
B000726,2026-03-19,ACC0097,The Old Print Works,10108,GBP,DEBIT,SETTLED
B000727,2026-01-13,ACC0069,Petra Logistics,28668,GBP,DEBIT,SETTLED
B000728,2026-01-08,ACC0068,Harrow Sports Club,3692,GBP,DEBIT,RETURNED
B000729,2026-03-16,ACC0010,"Wembley Tyres, Ltd",13396,GBP,DEBIT,UNSETTLED
B000730,2026-03-06,ACC0095,Bolt & Screw Ltd,2579,GBP,DEBIT,UNSETTLED
B000731,2026-02-26,ACC0032,Corner Cafe,1516,GBP,DEBIT,SETTLED
B000732,2026-03-25,ACC0059,"Wembley Tyres, Ltd",3245,GBP,CREDIT,UNSETTLED
B000733,2026-02-19,ACC0033,Corner Cafe,5848,GBP,CREDIT,UNSETTLED
B000734,2026-03-18,ACC0120,Petra Logistics,13016,GBP,DEBIT,SETTLED
B000735,2026-02-24,ACC0109,Dhillon & Sons,3084,GBP,DEBIT,RETURNED
B000736,2026-02-05,ACC0092,"Marlow ""Fine"" Foods",3403,GBP,DEBIT,RETURNED
B000737,2026-02-22,ACC0088,Ashvale Clinic,16186,GBP,CREDIT,SETTLED
B000738,2026-02-05,ACC0111,Ashvale Clinic,3670,GBP,CREDIT,SETTLED
B000739,2026-01-09,ACC0116,Kite Digital,52234,GBP,DEBIT,UNSETTLED
B000740,2026-02-18,ACC0057,Northline Freight,20417,GBP,DEBIT,SETTLED
B000741,2026-01-13,ACC0042,Ashvale Clinic,10807,GBP,DEBIT,SETTLED
B000742,2026-02-24,ACC0006,Bolt & Screw Ltd,4921,GBP,DEBIT,RETURNED
B000743,2026-02-16,ACC0061,Sandbrook Utilities,2801,GBP,DEBIT,SETTLED
B000744,2026-02-27,ACC0001,Bolt & Screw Ltd,8111,GBP,DEBIT,RETURNED
B000745,2026-03-12,ACC0116,Harrow Sports Club,8798,GBP,DEBIT,SETTLED
B000746,2026-02-25,ACC0068,"Wembley Tyres, Ltd",25614,GBP,DEBIT,RETURNED
B000747,2026-01-30,ACC0068,Bolt & Screw Ltd,1590,GBP,DEBIT,UNSETTLED
B000748,2026-01-14,ACC0030,"Wembley Tyres, Ltd",5010,GBP,DEBIT,RETURNED
B000749,2026-03-25,ACC0089,"Marlow ""Fine"" Foods",2308,GBP,CREDIT,RETURNED
B000750,2026-03-07,ACC0081,Ashvale Clinic,4524,GBP,CREDIT,UNSETTLED
B000751,2026-01-02,ACC0101,"Marlow ""Fine"" Foods",9901,GBP,DEBIT,UNSETTLED
B000752,2026-01-15,ACC0045,Dhillon & Sons,23147,GBP,DEBIT,SETTLED
B000753,2026-03-16,ACC0057,The Old Print Works,21619,GBP,DEBIT,UNSETTLED
B000754,2026-01-21,ACC0052,Petra Logistics,4383,GBP,DEBIT,SETTLED
B000755,2026-02-20,ACC0007,Kite Digital,3914,GBP,DEBIT,SETTLED
B000756,2026-03-01,ACC0007,Bolt & Screw Ltd,3838,GBP,DEBIT,UNSETTLED
B000757,2026-01-04,ACC0057,Dhillon & Sons,4857,GBP,DEBIT,SETTLED
B000758,2026-01-09,ACC0028,Northline Freight,7423,GBP,CREDIT,SETTLED
B000759,2026-02-12,ACC0089,Petra Logistics,10700,GBP,DEBIT,UNSETTLED
B000760,2026-01-21,ACC0088,"Wembley Tyres, Ltd",9351,GBP,CREDIT,UNSETTLED
B000761,2026-02-28,ACC0061,The Old Print Works,15977,GBP,DEBIT,SETTLED
B000762,2026-01-17,ACC0098,"Wembley Tyres, Ltd",3720,GBP,DEBIT,UNSETTLED
B000763,2026-03-18,ACC0080,Petra Logistics,12033,GBP,DEBIT,SETTLED
B000764,2026-01-04,ACC0038,Harrow Sports Club,26145,GBP,DEBIT,SETTLED
B000765,2026-02-01,ACC0049,Northline Freight,1484,GBP,CREDIT,SETTLED
B000766,2026-02-25,ACC0056,Sandbrook Utilities,9698,GBP,CREDIT,SETTLED
B000767,2026-01-11,ACC0039,Sandbrook Utilities,4584,GBP,CREDIT,SETTLED
B000768,2026-03-03,ACC0064,Corner Cafe,913,GBP,DEBIT,SETTLED
B000769,2026-02-24,ACC0034,Corner Cafe,14314,GBP,CREDIT,RETURNED
B000770,2026-01-30,ACC0054,Sandbrook Utilities,13777,GBP,CREDIT,RETURNED
B000771,2026-03-08,ACC0041,"Marlow ""Fine"" Foods",1583,GBP,CREDIT,SETTLED
B000772,2026-03-17,ACC0060,Ashvale Clinic,6141,GBP,CREDIT,RETURNED
B000773,2026-02-12,ACC0023,Bolt & Screw Ltd,3003,GBP,DEBIT,RETURNED
B000774,2026-01-26,ACC0076,Sandbrook Utilities,1223,GBP,DEBIT,SETTLED
B000775,2026-01-06,ACC0101,Bolt & Screw Ltd,3029,GBP,DEBIT,RETURNED
B000776,2026-02-26,ACC0023,Harrow Sports Club,1681,GBP,DEBIT,RETURNED
B000777,2026-03-02,ACC0035,Ashvale Clinic,33909,GBP,DEBIT,UNSETTLED
B000778,2026-01-08,ACC0031,"Marlow ""Fine"" Foods",729,GBP,DEBIT,RETURNED
B000779,2026-03-21,ACC0075,Petra Logistics,6242,GBP,CREDIT,RETURNED
B000780,2026-03-10,ACC0038,Petra Logistics,4963,GBP,DEBIT,SETTLED
B000781,2026-01-03,ACC0116,Kite Digital,3477,GBP,DEBIT,UNSETTLED
B000782,2026-02-12,ACC0011,Harrow Sports Club,2800,GBP,CREDIT,SETTLED
B000783,2026-02-17,ACC0101,Sandbrook Utilities,14789,GBP,DEBIT,UNSETTLED
B000784,2026-01-23,ACC0039,Corner Cafe,7889,GBP,CREDIT,RETURNED
B000785,2026-02-02,ACC0012,Corner Cafe,4013,GBP,CREDIT,UNSETTLED
B000786,2026-01-16,ACC0077,The Old Print Works,4612,GBP,CREDIT,SETTLED
B000787,2026-01-25,ACC0086,Corner Cafe,16142,GBP,CREDIT,UNSETTLED
B000788,2026-03-18,ACC0113,Kite Digital,9778,GBP,DEBIT,RETURNED
B000789,2026-03-21,ACC0007,Northline Freight,16558,GBP,CREDIT,SETTLED
B000790,2026-02-25,ACC0109,The Old Print Works,11156,GBP,CREDIT,UNSETTLED
B000791,2026-02-15,ACC0042,"Marlow ""Fine"" Foods",2544,GBP,DEBIT,SETTLED
B000792,2026-02-02,ACC0055,The Old Print Works,7660,GBP,DEBIT,RETURNED
B000793,2026-02-09,ACC0050,Kite Digital,2162,GBP,DEBIT,UNSETTLED
B000794,2026-02-05,ACC0044,"Marlow ""Fine"" Foods",11284,GBP,CREDIT,RETURNED
B000795,2026-02-19,ACC0029,"Wembley Tyres, Ltd",16390,GBP,DEBIT,SETTLED
B000796,2026-01-20,ACC0066,Harrow Sports Club,10791,GBP,DEBIT,RETURNED
B000797,2026-01-10,ACC0070,Northline Freight,1187,GBP,CREDIT,SETTLED
B000798,2026-03-09,ACC0010,Northline Freight,48753,GBP,CREDIT,RETURNED
B000799,2026-02-19,ACC0062,Sandbrook Utilities,3046,GBP,DEBIT,SETTLED
B000800,2026-01-04,ACC0112,Dhillon & Sons,7840,GBP,DEBIT,SETTLED
B000801,2026-02-02,ACC0054,Kite Digital,6758,GBP,DEBIT,RETURNED
B000802,2026-03-23,ACC0079,Northline Freight,,GBP,CREDIT,RETURNED
B000803,2026-02-19,ACC0076,Sandbrook Utilities,10558,GBP,DEBIT,SETTLED
B000804,2026-01-13,ACC0060,Bolt & Screw Ltd,2769,GBP,DEBIT,SETTLED
B000805,2026-02-25,ACC0034,Kite Digital,12346,GBP,DEBIT,SETTLED
B000806,2026-03-23,ACC0103,Bolt & Screw Ltd,3032,GBP,CREDIT,RETURNED
B000807,2026-01-05,ACC0115,Petra Logistics,2025,GBP,DEBIT,SETTLED
B000808,2026-01-08,ACC0036,Ashvale Clinic,7055,GBP,CREDIT,SETTLED
B000809,2026-03-05,ACC0116,Petra Logistics,4721,GBP,CREDIT,SETTLED
B000810,2026-01-15,ACC0043,Kite Digital,23806,GBP,DEBIT,RETURNED
B000811,2026-01-09,ACC0028,Sandbrook Utilities,3015,GBP,DEBIT,RETURNED
B000812,2026-01-05,ACC0014,The Old Print Works,8007,GBP,DEBIT,UNSETTLED
B000813,2026-03-21,ACC0018,The Old Print Works,69370,GBP,CREDIT,SETTLED
B000814,2026-03-05,ACC0031,Kite Digital,9201,GBP,DEBIT,SETTLED
B000815,2026-01-17,ACC0007,The Old Print Works,3950,GBP,CREDIT,UNSETTLED
B000816,2026-02-24,ACC0018,Sandbrook Utilities,12191,GBP,DEBIT,SETTLED
B000817,2026-01-03,ACC0096,"Wembley Tyres, Ltd",9404,GBP,CREDIT,RETURNED
B000818,2026-02-27,ACC0050,Harrow Sports Club,14474,GBP,DEBIT,UNSETTLED
B000819,2026-01-11,ACC0006,"Marlow ""Fine"" Foods",113723,GBP,DEBIT,RETURNED
B000820,2026-02-23,ACC0071,Sandbrook Utilities,2317,GBP,DEBIT,SETTLED
B000821,2026-01-27,ACC0037,"Wembley Tyres, Ltd",4598,GBP,DEBIT,UNSETTLED
B000822,2026-01-26,ACC0054,Corner Cafe,12928,GBP,DEBIT,UNSETTLED
B000823,2026-03-14,ACC0038,Harrow Sports Club,6924,GBP,CREDIT,SETTLED
B000824,2026-01-16,ACC0083,"Marlow ""Fine"" Foods",11430,GBP,DEBIT,SETTLED
B000825,2026-03-08,ACC0049,Bolt & Screw Ltd,3494,GBP,DEBIT,RETURNED
B000826,2026-03-12,ACC0011,Corner Cafe,6325,GBP,DEBIT,UNSETTLED
B000827,2026-02-26,ACC0033,"Marlow ""Fine"" Foods",22100,GBP,DEBIT,SETTLED
B000828,2026-02-25,ACC0065,Northline Freight,27598,GBP,CREDIT,UNSETTLED
B000829,2026-03-04,ACC0052,The Old Print Works,13531,GBP,DEBIT,RETURNED
B000830,2026-01-28,ACC0002,Sandbrook Utilities,5012,GBP,CREDIT,RETURNED
B000831,2026-03-13,ACC0025,Sandbrook Utilities,6500,GBP,DEBIT,RETURNED
B000832,2026-01-26,ACC0064,"Wembley Tyres, Ltd",8353,GBP,DEBIT,SETTLED
B000833,2026-01-29,ACC0002,Corner Cafe,2944,GBP,DEBIT,SETTLED
B000834,2026-02-06,ACC0029,"Wembley Tyres, Ltd",43852,GBP,CREDIT,SETTLED
B000835,2026-02-18,ACC0031,"Wembley Tyres, Ltd",66809,GBP,CREDIT,SETTLED
B000836,2026-03-22,ACC0025,"Marlow ""Fine"" Foods",7802,GBP,CREDIT,SETTLED
B000837,2026-02-08,ACC0036,Corner Cafe,11310,GBP,DEBIT,SETTLED
B000838,2026-01-19,ACC0016,"Wembley Tyres, Ltd",4178,GBP,DEBIT,RETURNED
B000839,2026-02-26,ACC0096,Petra Logistics,15281,GBP,DEBIT,SETTLED
B000840,2026-01-25,ACC0106,The Old Print Works,5671,GBP,CREDIT,SETTLED
B000841,2026-03-24,ACC0070,The Old Print Works,10870,GBP,DEBIT,SETTLED
B000842,2026-01-20,ACC0067,The Old Print Works,22029,GBP,DEBIT,SETTLED
B000843,2026-01-25,ACC0041,Dhillon & Sons,3383,GBP,DEBIT,RETURNED
B000844,2026-02-09,ACC0031,Harrow Sports Club,7558,GBP,CREDIT,SETTLED
B000845,2026-01-18,ACC0090,The Old Print Works,2217,GBP,CREDIT,SETTLED
B000846,2026-01-01,ACC0042,Sandbrook Utilities,606,GBP,DEBIT,SETTLED
B000847,2026-01-16,ACC0019,"Wembley Tyres, Ltd",2468,GBP,CREDIT,UNSETTLED
B000848,2026-02-23,ACC0042,"Wembley Tyres, Ltd",8478,GBP,DEBIT,UNSETTLED
B000849,2026-03-15,ACC0105,Petra Logistics,2845,GBP,DEBIT,UNSETTLED
B000850,2026-03-18,ACC0037,The Old Print Works,8193,GBP,DEBIT,SETTLED
B000851,2026-03-21,ACC0077,Ashvale Clinic,2010,GBP,DEBIT,RETURNED
B000852,2026-03-21,ACC0002,Harrow Sports Club,5026,GBP,CREDIT,UNSETTLED
B000853,2026-01-14,ACC0050,"Wembley Tyres, Ltd",10028,GBP,DEBIT,UNSETTLED
B000854,2026-02-28,ACC0095,Ashvale Clinic,5456,GBP,DEBIT,SETTLED
B000855,2026-02-21,ACC0075,Northline Freight,1975,GBP,DEBIT,RETURNED
B000856,2026-02-04,ACC0002,The Old Print Works,1974,GBP,DEBIT,UNSETTLED
B000857,2026-03-24,ACC0086,Dhillon & Sons,25424,GBP,DEBIT,SETTLED
B000858,2026-01-16,ACC0099,"Wembley Tyres, Ltd",998,GBP,CREDIT,SETTLED
B000859,2026-02-08,ACC0083,Kite Digital,2680,GBP,CREDIT,UNSETTLED
B000860,2026-03-13,ACC0037,Kite Digital,1990,GBP,DEBIT,UNSETTLED
B000861,2026-01-23,ACC0038,Sandbrook Utilities,153517,GBP,CREDIT,SETTLED
B000862,2026-02-21,ACC0099,Northline Freight,10195,GBP,DEBIT,SETTLED
B000863,2026-02-08,ACC0064,"Marlow ""Fine"" Foods",18555,GBP,DEBIT,SETTLED
B000864,2026-01-17,ACC0038,Corner Cafe,7115,GBP,DEBIT,RETURNED
B000865,2026-02-12,ACC0033,The Old Print Works,6946,GBP,DEBIT,SETTLED
B000866,2026-01-20,ACC0052,Kite Digital,18960,GBP,DEBIT,SETTLED
B000867,2026-01-27,ACC0022,Kite Digital,2585,GBP,DEBIT,RETURNED
B000868,2026-02-10,ACC0050,The Old Print Works,4228,GBP,DEBIT,RETURNED
B000869,2026-03-08,ACC0104,Corner Cafe,1207,GBP,DEBIT,UNSETTLED
B000870,2026-01-18,ACC0077,"Marlow ""Fine"" Foods",6368,GBP,CREDIT,SETTLED
B000871,2026-01-15,ACC0016,Harrow Sports Club,3193,GBP,DEBIT,RETURNED
B000872,2026-03-15,ACC0077,Bolt & Screw Ltd,10226,GBP,DEBIT,SETTLED
B000873,2026-03-24,ACC0011,Ashvale Clinic,2600,GBP,DEBIT,UNSETTLED
B000874,2026-02-23,ACC0105,Dhillon & Sons,8150,GBP,DEBIT,RETURNED
B000875,2026-03-15,ACC0109,Ashvale Clinic,8578,GBP,DEBIT,SETTLED
B000876,2026-01-20,ACC0020,Kite Digital,15844,GBP,DEBIT,RETURNED
B000877,2026-02-05,ACC0038,Petra Logistics,14320,GBP,DEBIT,SETTLED
B000878,2026-03-04,ACC0016,The Old Print Works,5368,GBP,DEBIT,UNSETTLED
B000879,2026-03-15,ACC0092,Corner Cafe,3013,GBP,CREDIT,UNSETTLED
B000880,2026-02-15,ACC0023,Petra Logistics,1316,GBP,DEBIT,RETURNED
B000881,2026-02-02,ACC0084,Ashvale Clinic,2071,GBP,DEBIT,UNSETTLED
B000882,2026-03-03,ACC0082,Petra Logistics,5059,GBP,DEBIT,SETTLED
B000883,2026-01-03,ACC0112,The Old Print Works,3422,GBP,DEBIT,SETTLED
B000884,2026-02-03,ACC0083,Corner Cafe,8496,GBP,DEBIT,UNSETTLED
B000885,2026-01-10,ACC0083,"Marlow ""Fine"" Foods",2297,GBP,DEBIT,RETURNED
B000886,2026-02-22,ACC0047,Northline Freight,9903,GBP,DEBIT,UNSETTLED
B000887,2026-02-07,ACC0084,Petra Logistics,1764,GBP,CREDIT,SETTLED
B000888,2026-03-31,ACC0054,Ashvale Clinic,11691,GBP,DEBIT,RETURNED
B000889,2026-01-26,ACC0077,"Marlow ""Fine"" Foods",16396,GBP,DEBIT,SETTLED
B000890,2026-01-04,ACC0111,Corner Cafe,2728,GBP,DEBIT,SETTLED
